family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
Ericaceae,Moneses uniflora,7/17/2003,2003,7,17,198,Alpine summit descending into north-facing spruce forest slope.,,,,,,flowering,37.7938,-107.3672,3843
Ericaceae,Moneses uniflora,7/26/2003,2003,7,26,207,Along creek in open meadow with scattered spruce and bristle cone pine.,,,,,,flowering,37.7765,-106.6597,3293
Ericaceae,Moneses uniflora,8/7/2003,2003,8,7,219,Along trail through spruce forest.,,,,,,flowering and fruiting,39.6565,-105.5949,3232
Ericaceae,Moneses uniflora,8/6/2004,2004,8,6,219,Along creek.,,,,,,flowering and fruiting,39.7361,-105.7482,3506
Ericaceae,Moneses uniflora,7/26/1997,1997,7,26,207,"Engelmann spruce, subalpine fir, and lodgepole pine forest.",,,,,,flowering,38.7183,-106.5076,3201
Ericaceae,Moneses uniflora,8/2/1997,1997,8,2,214,Engelmann spruce forest and open meadow.,,,,,,flowering,38.9055,-106.7672,3293
Ericaceae,Moneses uniflora,8/9/1998,1998,8,9,221,Engelmann spruce/subalpine fir forest.,,,,,,flowering,38.6646,-106.5438,3262
Ericaceae,Moneses uniflora,8/22/1998,1998,8,22,234,Engelmann spruce/subalpine fir.,,,,,,flowering,38.7196,-107.2286,3232
Ericaceae,Moneses uniflora,7/29/1998,1998,7,29,210,Engelmann spruce/subalpine fir forest and drainages on southeast slope.,,,,,,flowering,38.7342,-107.1728,3354
Ericaceae,Moneses uniflora,7/31/1998,1998,7,31,212,Alpine meadows into spruce forest.,,,,,,flowering,38.0373,-106.9277,3488
Ericaceae,Moneses uniflora,8/11/1998,1998,8,11,223,Mixed conifer/aspen forest to alpine.,,,,,,flowering,38.2438,-106.8815,3329
Ericaceae,Moneses uniflora,8/26/1999,1999,8,26,238,Canyon.,,,,,,flowering,38.0079,-106.8911,3415
Ericaceae,Moneses uniflora,8/11/1942,1942,8,11,223,Transition timber-meadow.,,,,,,flowering and fruiting,38.1403,-105.703,3506
