"Family.Name","Authority","scientificName","Decimal.Latitude","Decimal.Longitude","Year","elevation","startDayOfYear","institutionCode"
"127","Caryophyllaceae","Cham. & Schlecht.","Cerastium beeringianum",37.885667,-107.844833,2010,3430,201,"ASC"
"128","Rosaceae","L.","Sibbaldia procumbens",37.885667,-107.844833,2010,3430,201,"ASC"
"129","Polygonaceae","L.","Polygonum viviparum",37.885667,-107.844833,2010,3430,201,"ASC"
"130","Ranunculaceae","James","Aquilegia coerulea",37.885667,-107.844833,2010,3430,201,"ASC"
"131","Brassicaceae","Greene","Rorippa curvipes",37.885667,-107.844833,2010,3430,201,"ASC"
"132","Fabaceae","Greene","Trifolium attenuatum",37.885667,-107.844833,2010,3430,201,"ASC"
"133","Valerianaceae","Rydb.","Valeriana acutiloba",37.885667,-107.844833,2010,3430,201,"ASC"
"134","Brassicaceae","(A.Gray) Holub","Noccaea fendleri",37.885667,-107.844833,2010,3430,201,"ASC"
"135","Saxifragaceae","Willd. ex Sternb.","Saxifraga flagellaris ssp. crandallii",37.914667,-107.617667,2010,3910,203,"ASC"
"136","Fabaceae","Torr.","Trifolium nanum",37.914667,-107.617667,2010,3910,203,"ASC"
"137","Primulaceae","L.","Androsace septentrionalis",37.914667,-107.617667,2010,3910,203,"ASC"
"138","Brassicaceae","(A.Gray) Holub","Noccaea fendleri",37.914667,-107.617667,2010,3910,203,"ASC"
"139","Rosaceae","L.","Sibbaldia procumbens",37.914667,-107.617667,2010,3910,203,"ASC"
"140","Asteraceae","Gray","Artemisia scopulorum",37.914667,-107.617667,2010,3910,203,"ASC"
"141","Portulacaceae","(Gray) Parry ex S. Wats.","Claytonia megarhiza",37.914667,-107.617667,2010,3910,203,"ASC"
"142","Apiaceae","Coult. & Rose","Oreoxis bakeri",37.914667,-107.617667,2010,3910,203,"ASC"
"143","Caryophyllaceae","Cham. & Schlecht.","Cerastium beeringianum",37.914667,-107.617667,2010,3910,203,"ASC"
"144","Asteraceae","Greene","Antennaria media",37.914667,-107.617667,2010,3910,203,"ASC"
"145","Onagraceae","Trel.","Epilobium clavatum",37.914667,-107.617667,2010,3910,203,"ASC"
"146","Gentianaceae","Engelm.","Gentiana parryi",NA,NA,1994,3383,249,"ASC"
"147","Rosaceae","(Rydb.) C.L. Hitchc.","Geum rossii var. turbinatum",NA,NA,1994,3962,249,"ASC"
"148","Asteraceae","A. Gray","Senecio bigelovii",NA,NA,1994,3383,249,"ASC"
