Species_ID,Common_Name,Kingdom,Genus,Species,ITIS_Taxonomic_SN,Active,Cloned,USDA_Symbol,Date_Added,Functional_Type
293,coastal plain willow,Plantae,Salix,caroliniana,22516,1,0,SACA5,3/27/2010 0:00,Deciduous broadleaf
294,devil's-tongue,Plantae,Opuntia,humifusa,19710,1,0,OPHU,3/27/2010 0:00,Cactus
295,slash pine,Plantae,Pinus,elliottii,18036,1,0,PIEL,3/27/2010 0:00,Evergreen conifer
296,bald cypress,Plantae,Taxodium,distichum,18041,1,0,TADI2,3/27/2010 0:00,Deciduous conifer
297,sand live oak,Plantae,Quercus,geminata,195176,1,0,QUGE2,3/27/2010 0:00,Evergreen broadleaf
298,cabbage palmetto,Plantae,Sabal,palmetto,42506,1,0,SAPA,3/27/2010 0:00,Evergreen broadleaf
299,wrinkleleaf goldenrod,Plantae,Solidago,rugosa,36299,1,0,SORU2,3/27/2010 0:00,Forb
301,laurel oak,Plantae,Quercus,laurifolia,19368,1,0,QULA3,4/7/2010 0:00,Semi-deciduous broadleaf
302,fireweed,Plantae,Chamerion,angustifolium,510756,1,0,CHAN9,4/9/2010 0:00,Forb
303,common persimmon,Plantae,Diospyros,virginiana,23855,1,0,DIVI5,4/27/2010 0:00,Deciduous broadleaf
304,feathery false lily of the valley,Plantae,Maianthemum,racemosum,503655,1,0,MARA7,4/27/2010 0:00,Forb
305,live oak,Plantae,Quercus,virginiana,19283,1,0,QUVI,4/27/2010 0:00,Evergreen broadleaf
306,saw palmetto,Plantae,Serenoa,repens,42508,1,0,SERE2,4/27/2010 0:00,Evergreen broadleaf
308,garlic mustard,Plantae,Alliaria,petiolata,184481,1,0,ALPE4,6/10/2010 0:00,Forb
309,trumpet creeper,Plantae,Campsis,radicans,34309,1,0,CARA2,6/10/2010 0:00,Deciduous broadleaf
310,Pacific bleeding heart,Plantae,Dicentra,formosa,18947,1,0,DIFO,6/10/2010 0:00,Forb
311,salal,Plantae,Gaultheria,shallon,23658,1,0,GASH,6/10/2010 0:00,Evergreen broadleaf
312,oceanspray,Plantae,Holodiscus,discolor,25177,1,0,HODI,6/10/2010 0:00,Deciduous broadleaf
313,bog Labrador tea,Plantae,Ledum,groenlandicum,23546,1,0,LEGR,6/10/2010 0:00,Evergreen broadleaf
314,rugosa rose,Plantae,Rosa,rugosa,24811,1,0,RORU,6/10/2010 0:00,Deciduous broadleaf
315,staghorn sumac,Plantae,Rhus,typhina,504755,1,0,RHTY,6/10/2010 0:00,Deciduous broadleaf
